Vendor,Tax ID,Address,City,Country
Limited Adventure,FR121212,Avenue Marcheariere 18,Paris,France
Technology Lake,DE763212,Hauptbahnhoff Strasse 21,Stuttgart,Germany
Green Restaurant,RO212121,Strada Verde 67,Iasi,Romania
Microtronic Enterprise,IT213456,Via Alta 32,Roma,Italy
Telephone Systems,RO874232,Intrarea Telefoanelor 112,Bucuresti,Romania
Moretronic Intelligence,DE987564,Bauhaus Strasse 21,Munchen,Germany
Office Supplies,RO125678,Bulevardul Papetariei 57,Bucuresti,Romania
Softload Export,RO254678,Strada Lunga 189,Brasov,Romania
Clipboard Papers,RO657483,Strada Agrafei 67,Brasov,Romania
Red Communications,RU567434,Pobeda Ulitsa 21,Moscow,Russia
Blue Lagoon,FR329083,Avenue Foch 28,Paris,France
Minitronic Systems,FR453231,Rue Saint Denis 68,Paris,France
Maxitronic Limited,DE767565,Bingauer Strasse 45,Koln,Germany
In Advantage Technologies,IT754893,Via del Colosseo,Roma,Italy
Copiers and More,RO874231,Strada Copiatoarelor 33,Brasov,Romania
Volga Rivers,DE325476,Hoch Strasse 12,Koln,Germany
Megatronic Incorporated,RO345879,Strada Sperantei la parter,Bucuresti,Romania
